Date,Timestamp,Open,High,Low,Close,Volume
20190405,04:00:00,1.30898,1.30984,1.30863,1.30948,2804.270003
20190405,05:00:00,1.30948,1.31216,1.30908,1.31097,5963.490008
20190405,06:00:00,1.31097,1.3115,1.30898,1.30923,9255.039997
20190405,07:00:00,1.30923,1.31065,1.30895,1.30948,12948.86001
20190405,08:00:00,1.30948,1.30988,1.30813,1.30813,16445.19999
20190405,09:00:00,1.30814,1.30887,1.3074,1.30808,10998.97999
20190405,10:00:00,1.30808,1.30836,1.30647,1.30662,9046.809989
20190405,11:00:00,1.3066,1.3072,1.30551,1.30657,10571.40998
20190405,12:00:00,1.30656,1.3081,1.30259,1.30472,20762.21001
20190405,13:00:00,1.30473,1.3052,1.30139,1.30208,16785.84
20190405,14:00:00,1.30208,1.30411,1.30093,1.30106,16668.11998
20190405,15:00:00,1.30105,1.30208,1.30044,1.30079,13554.12998
20190405,16:00:00,1.30079,1.30239,1.29866,1.30145,11287.86
20190405,17:00:00,1.30144,1.30363,1.30091,1.30336,5935.779986
20190405,18:00:00,1.30336,1.30351,1.30246,1.30285,5069.320004
20190405,19:00:00,1.30288,1.30368,1.30213,1.30343,4597.730002
20190405,20:00:00,1.30343,1.30388,1.30281,1.30338,2545.200001
20190407,21:00:00,1.30337,1.30398,1.30197,1.303,2912.7
20190407,22:00:00,1.30289,1.30373,1.30277,1.30353,2094.089998
20190407,23:00:00,1.30351,1.3038,1.30331,1.30378,2315.699998
20190408,00:00:00,1.30376,1.30526,1.3033,1.30472,3759.960003
20190408,01:00:00,1.30472,1.30479,1.30383,1.3047,2773.450004
20190408,02:00:00,1.3047,1.30611,1.30452,1.30542,3349.399999
20190408,03:00:00,1.30542,1.30716,1.30539,1.30659,3492.529995
20190408,04:00:00,1.30659,1.30714,1.30621,1.30654,2848.770003
20190408,05:00:00,1.30654,1.30689,1.30581,1.3059,3340.390002
20190408,06:00:00,1.30589,1.30634,1.30525,1.30553,8365.539995
20190408,07:00:00,1.30553,1.30628,1.30438,1.30574,18234.89001
20190408,08:00:00,1.30576,1.30664,1.30524,1.30545,15278.51002
20190408,09:00:00,1.30545,1.30651,1.30436,1.30617,16066.92999
20190408,10:00:00,1.30618,1.30618,1.30424,1.30541,15264.08
20190408,11:00:00,1.3054,1.30569,1.30427,1.30477,15173.66999
20190408,12:00:00,1.30476,1.30594,1.30418,1.30591,14318.06
20190408,13:00:00,1.30591,1.30604,1.30357,1.30466,17290.45
20190408,14:00:00,1.30468,1.30586,1.30377,1.30473,12311.58999
20190408,15:00:00,1.30472,1.30518,1.30347,1.30459,9478.500015
20190408,16:00:00,1.30459,1.30681,1.30451,1.30587,6847.240003
20190408,17:00:00,1.30588,1.30739,1.30568,1.30691,5480.49
20190408,18:00:00,1.30691,1.30726,1.30633,1.30656,5106.479994
20190408,19:00:00,1.30656,1.3068,1.30589,1.30649,5304.699987
